"","age","female","male","name"
"1",21,0.7,0.3,"../img_02/101264.jpg"
"2",32,0.59,0.41,"../img_02/823.jpg"
"3",NA,NA,NA,"../img_02/46601.jpg"
"4",NA,NA,NA,"../img_02/17328.jpg"
"5",NA,NA,NA,"../img_02/2100.jpg"
"6",39,0.13,0.87,"../img_02/16036.jpg"
"7",38,0.26,0.74,"../img_02/44016.jpg"
"8",NA,NA,NA,"../img_02/7078.jpg"
"9",NA,NA,NA,"../img_02/1409.jpg"
"10",NA,NA,NA,"../img_02/12429.jpeg"
"11",NA,NA,NA,"../img_02/189.jpg"
"12",32,0.27,0.73,"../img_02/2114.jpg"
"13",30,0.21,0.79,"../img_02/57718.jpg"
"14",39,0.16,0.84,"../img_02/94753.jpg"
"15",32,0.97,0.03,"../img_02/4203.jpg"
"16",21,0.7,0.3,"../img_02/101264.jpg"
"17",32,0.59,0.41,"../img_02/823.jpg"
"18",NA,NA,NA,"../img_02/46601.jpg"
"19",NA,NA,NA,"../img_02/17328.jpg"
"20",NA,NA,NA,"../img_02/2100.jpg"
"21",39,0.13,0.87,"../img_02/16036.jpg"
"22",38,0.26,0.74,"../img_02/44016.jpg"
"23",NA,NA,NA,"../img_02/7078.jpg"
"24",NA,NA,NA,"../img_02/1409.jpg"
"25",NA,NA,NA,"../img_02/12429.jpeg"
"26",NA,NA,NA,"../img_02/189.jpg"
"27",32,0.27,0.73,"../img_02/2114.jpg"
"28",30,0.21,0.79,"../img_02/57718.jpg"
"29",39,0.16,0.84,"../img_02/94753.jpg"
"30",32,0.97,0.03,"../img_02/4203.jpg"
"31",26,0.84,0.16,"../img_02/27599.jpg"
"32",NA,NA,NA,"../img_02/49240.jpg"
"33",NA,NA,NA,"../img_02/54577.jpg"
"34",37,0.92,0.08,"../img_02/837.jpg"
"35",NA,NA,NA,"../img_02/104320.jpg"
"36",NA,NA,NA,"../img_02/44994.jpg"
"37",33,0.19,0.81,"../img_02/91603.jpg"
"38",39,0.61,0.39,"../img_02/41152.jpg"
"39",NA,NA,NA,"../img_02/95465.jpg"
"40",37,0.04,0.96,"../img_02/30967.jpg"
"41",27,0.15,0.85,"../img_02/48604.jpg"
"42",NA,NA,NA,"../img_02/89058.jpg"
"43",NA,NA,NA,"../img_02/43989.jpg"
"44",NA,NA,NA,"../img_02/42329.jpg"
"45",NA,NA,NA,"../img_02/43037.jpg"
"46",43,0.25,0.75,"../img_02/39770.jpg"
"47",27,0.97,0.03,"../img_02/5874.jpg"
"48",NA,NA,NA,"../img_02/5860.jpg"
"49",40,0.02,0.98,"../img_02/11956.jpg"
"50",NA,NA,NA,"../img_02/21895.jpg"
"51",NA,NA,NA,"../img_02/33249.jpg"
"52",NA,NA,NA,"../img_02/45634.jpeg"
"53",NA,NA,NA,"../img_02/89931.jpg"
"54",39,0.98,0.02,"../img_02/32619.jpg"
"55",33,0.02,0.98,"../img_02/9914.jpg"
"56",34,0.85,0.15,"../img_02/86615.jpeg"
"57",48,0.09,0.91,"../img_02/44957.jpg"
"58",40,0.01,0.99,"../img_02/7939.jpg"
"59",38,0.02,0.98,"../img_02/1390.jpg"
"60",NA,NA,NA,"../img_02/5690.jpg"
"61",NA,NA,NA,"../img_02/162.jpg"
"62",26,0.99,0.01,"../img_02/71046.jpg"
"63",38,0.04,0.96,"../img_02/41698.jpeg"
"64",NA,NA,NA,"../img_02/93047.jpeg"
"65",31,0.58,0.42,"../img_02/610.jpg"
"66",NA,NA,NA,"../img_02/44214.jpg"
"67",NA,NA,NA,"../img_02/85448.jpg"
"68",NA,NA,NA,"../img_02/36682.jpg"
"69",35,0.15,0.85,"../img_02/87539.jpg"
"70",NA,NA,NA,"../img_02/24286.jpg"
"71",36,0.04,0.96,"../img_02/7508.jpg"
"72",30,0.02,0.98,"../img_02/86633.jpg"
"73",33,0.11,0.89,"../img_02/59537.jpg"
"74",34,0.1,0.9,"../img_02/2316.jpg"
"75",45,0.02,0.98,"../img_02/10651.jpg"
"76",32,0.09,0.91,"../img_02/25832.jpg"
"77",29,0.88,0.12,"../img_02/13358.jpg"
