"","age","female","male","name"
"1",33,0.35,0.65,"../img_01/11205.jpeg"
"2",43,0.14,0.86,"../img_01/823.jpg"
"3",NA,NA,NA,"../img_01/4217.jpg"
"4",27,0.93,0.07,"../img_01/5109.jpg"
"5",33,0.35,0.65,"../img_01/11205.jpeg"
"6",43,0.14,0.86,"../img_01/823.jpg"
"7",NA,NA,NA,"../img_01/4217.jpg"
"8",27,0.93,0.07,"../img_01/5109.jpg"
"9",36,0.27,0.73,"../img_01/2114.jpg"
"10",NA,NA,NA,"../img_01/4565.jpg"
"11",NA,NA,NA,"../img_01/1810.png"
"12",45,0.98,0.02,"../img_01/16022.jpg"
"13",38,0.24,0.76,"../img_01/77.jpg"
"14",NA,NA,NA,"../img_01/12522.jpg"
"15",NA,NA,NA,"../img_01/3544.jpg"
"16",NA,NA,NA,"../img_01/1353.jpg"
"17",39,0.77,0.23,"../img_01/7787.jpeg"
"18",31,0.01,0.99,"../img_01/8411.jpg"
"19",33,0.26,0.74,"../img_01/1435.jpg"
"19.1",28,0.45,0.55,"../img_01/1435.jpg"
"20",30,0.93,0.07,"../img_01/9069.jpg"
"21",NA,NA,NA,"../img_01/13600.jpg"
"22",NA,NA,NA,"../img_01/7736.jpg"
"23",30,0.08,0.92,"../img_01/11017.jpg"
"24",NA,NA,NA,"../img_01/10309.jpg"
"25",NA,NA,NA,"../img_01/16793.jpg"
"26",38,0.04,0.96,"../img_01/9928.jpg"
"27",39,0.04,0.96,"../img_01/5874.jpg"
"28",NA,NA,NA,"../img_01/10484.jpg"
"29",32,0.13,0.87,"../img_01/5493.jpeg"
"30",NA,NA,NA,"../img_01/5860.jpg"
"31",34,0.53,0.47,"../img_01/10490.jpg"
"32",32,0.02,0.98,"../img_01/13199.jpg"
"33",NA,NA,NA,"../img_01/16787.jpg"
"34",36,0.41,0.59,"../img_01/3587.jpg"
"35",NA,NA,NA,"../img_01/5690.jpg"
"36",NA,NA,NA,"../img_01/7087.jpg"
"37",32,0.9,0.1,"../img_01/14812.jpg"
"38",NA,NA,NA,"../img_01/1637.png"
"39",NA,NA,NA,"../img_01/1151.png"
"40",48,0.09,0.91,"../img_01/3593.jpg"
"41",NA,NA,NA,"../img_01/9900.jpg"
"42",47,0.06,0.94,"../img_01/88.jpg"
"43",NA,NA,NA,"../img_01/1384.jpg"
"44",23,0.47,0.53,"../img_01/5702.jpeg"
"45",34,0.99,0.01,"../img_01/2302.jpg"
"46",NA,NA,NA,"../img_01/10123.jpg"
"47",NA,NA,NA,"../img_01/7508.jpg"
"48",39,0.19,0.81,"../img_01/1179.jpg"
"49",36,0.94,0.06,"../img_01/9525.jpg"
"50",NA,NA,NA,"../img_01/10137.jpg"
"51",31,0.03,0.97,"../img_01/16220.jpg"
"52",NA,NA,NA,"../img_01/5479.jpg"
"53",NA,NA,NA,"../img_01/6170.jpg"
"54",26,0.93,0.07,"../img_01/9243.jpg"
"55",29,0.97,0.03,"../img_01/12046.jpg"
"56",30,0.17,0.83,"../img_01/14545.jpeg"
"57",NA,NA,NA,"../img_01/6158.jpg"
"58",NA,NA,NA,"../img_01/7520.jpg"
"59",NA,NA,NA,"../img_01/13416.jpg"
"60",36,0.8,0.2,"../img_01/10156.jpeg"
"61",46,0.06,0.94,"../img_01/12491.jpeg"
"62",31,0.66,0.34,"../img_01/1623.jpg"
"63",26,0.55,0.45,"../img_01/8161.jpg"
"64",NA,NA,NA,"../img_01/4983.jpg"
"65",NA,NA,NA,"../img_01/4968.jpg"
"66",NA,NA,NA,"../img_01/12091.jpg"
"67",25,0.8,0.2,"../img_01/4203.png"
"68",32,0.02,0.98,"../img_01/15098.jpg"
"69",NA,NA,NA,"../img_01/14392.jpg"
"70",30,0.95,0.05,"../img_01/12085.jpg"
"71",38,0.08,0.92,"../img_01/1804.jpg"
"72",NA,NA,NA,"../img_01/9280.jpg"
"73",27,0.09,0.91,"../img_01/4954.jpg"
"74",NA,NA,NA,"../img_01/5492.jpg"
"75",NA,NA,NA,"../img_01/6825.jpg"
"76",53,0.03,0.97,"../img_01/6831.jpg"
"77",33,0.72,0.28,"../img_01/7722.png"
"78",NA,NA,NA,"../img_01/4940.jpg"
"79",32,0.71,0.29,"../img_01/5486.jpg"
"80",42,0.05,0.95,"../img_01/10876.jpg"
"81",NA,NA,NA,"../img_01/15649.jpg"
"82",NA,NA,NA,"../img_01/14557.jpg"
"83",NA,NA,NA,"../img_01/9323.jpg"
"84",NA,NA,NA,"../img_01/4607.jpg"
"85",40,0.03,0.97,"../img_01/4161.jpg"
"86",NA,NA,NA,"../img_01/10057.jpg"
"87",40,0.12,0.88,"../img_01/12640.jpg"
"88",NA,NA,NA,"../img_01/4175.jpg"
"89",NA,NA,NA,"../img_01/15885.jpg"
"90",NA,NA,NA,"../img_01/7332.jpg"
"91",NA,NA,NA,"../img_01/13204.jpg"
"92",24,0.28,0.72,"../img_01/15113.jpg"
"93",NA,NA,NA,"../img_01/14219.jpg"
"94",25,0.24,0.76,"../img_01/1031.jpg"
"94.1",29,0.16,0.84,"../img_01/1031.jpg"
"94.2",29,0.16,0.84,"../img_01/1031.jpg"
"95",33,0.1,0.9,"../img_01/15107.jpg"
"96",33,0.51,0.49,"../img_01/7440.jpg"
"97",NA,NA,NA,"../img_01/3785.jpeg"
"98",34,0.08,0.92,"../img_01/1757.jpg"
"99",30,0.91,0.09,"../img_01/13210.jpg"
"100",38,0.75,0.25,"../img_01/277.jpeg"
"101",36,0.96,0.04,"../img_01/16368.jpg"
"102",44,0.04,0.96,"../img_01/9808.jpeg"
"103",33,0.19,0.81,"../img_01/10080.jpg"
"104",NA,NA,NA,"../img_01/11478.jpeg"
"105",NA,NA,NA,"../img_01/15846.jpg"
"106",41,0.9,0.1,"../img_01/214.jpg"
"107",42,0.43,0.57,"../img_01/1780.jpg"
"108",40,0.48,0.52,"../img_01/1958.jpg"
"109",NA,NA,NA,"../img_01/1555.png"
"110",NA,NA,NA,"../img_01/6951.jpg"
"111",34,0.06,0.94,"../img_01/572.jpg"
"112",NA,NA,NA,"../img_01/566.jpg"
"113",NA,NA,NA,"../img_01/3183.jpg"
"114",NA,NA,NA,"../img_01/13853.jpeg"
"115",NA,NA,NA,"../img_01/4834.jpg"
"116",40,0.92,0.08,"../img_01/13984.jpg"
"117",41,0.11,0.89,"../img_01/4363.jpg"
"118",23,0.03,0.97,"../img_01/16624.jpg"
"119",NA,NA,NA,"../img_01/16142.jpg"
"120",32,0.01,0.99,"../img_01/10533.jpg"
"121",NA,NA,NA,"../img_01/2074.jpg"
"122",NA,NA,NA,"../img_01/6206.jpg"
"123",45,0.99,0.01,"../img_01/1569.jpg"
"123.1",32,0.63,0.37,"../img_01/1569.jpg"
